date_key,full_date,year,month,day_of_month,day_of_week,day_name,week_of_month,month_name,semester,trimester,is_weekend
1,2026-05-15,2026,5,15,5,Friday,3,May,S1,T2,False
2,2026-05-16,2026,5,16,6,Saturday,3,May,S1,T2,True
3,2026-05-17,2026,5,17,7,Sunday,3,May,S1,T2,True
4,2026-05-18,2026,5,18,1,Monday,3,May,S1,T2,False
5,2026-05-19,2026,5,19,2,Tuesday,3,May,S1,T2,False
6,2026-05-20,2026,5,20,3,Wednesday,3,May,S1,T2,False
7,2026-05-21,2026,5,21,4,Thursday,3,May,S1,T2,False
8,2026-05-22,2026,5,22,5,Friday,4,May,S1,T2,False
9,2026-05-23,2026,5,23,6,Saturday,4,May,S1,T2,True
10,2026-05-24,2026,5,24,7,Sunday,4,May,S1,T2,True
11,2026-05-25,2026,5,25,1,Monday,4,May,S1,T2,False
12,2026-05-26,2026,5,26,2,Tuesday,4,May,S1,T2,False
13,2026-05-27,2026,5,27,3,Wednesday,4,May,S1,T2,False
14,2026-05-28,2026,5,28,4,Thursday,4,May,S1,T2,False
15,2026-05-29,2026,5,29,5,Friday,5,May,S1,T2,False
16,2026-05-30,2026,5,30,6,Saturday,5,May,S1,T2,True
17,2026-05-31,2026,5,31,7,Sunday,5,May,S1,T2,True
18,2026-06-01,2026,6,1,1,Monday,1,June,S1,T2,False
19,2026-06-02,2026,6,2,2,Tuesday,1,June,S1,T2,False
20,2026-06-03,2026,6,3,3,Wednesday,1,June,S1,T2,False
21,2026-06-04,2026,6,4,4,Thursday,1,June,S1,T2,False
22,2026-06-05,2026,6,5,5,Friday,1,June,S1,T2,False
23,2026-06-06,2026,6,6,6,Saturday,1,June,S1,T2,True
24,2026-06-07,2026,6,7,7,Sunday,1,June,S1,T2,True
25,2026-06-08,2026,6,8,1,Monday,2,June,S1,T2,False
26,2026-06-09,2026,6,9,2,Tuesday,2,June,S1,T2,False
27,2026-06-10,2026,6,10,3,Wednesday,2,June,S1,T2,False
28,2026-06-11,2026,6,11,4,Thursday,2,June,S1,T2,False
